dataset,image_id,label,generator,device_family,prob_e20,prob_e21,prob_e22,correct_e20,correct_e21,correct_e22,e20_vs_e22_transition,e21_vs_e22_transition,complementarity_type
E14_Clean,real_raise_135_r11850456t,Real,camera,RAISE-1k,0.038909912109375,0.83837890625,0.7584320068359375,1,0,0,E20_correct__E22_wrong,E21_wrong__E22_wrong,E20_correct__E21_wrong
E14_Clean,real_raise_122_r0fbe1b0ft,Real,camera,RAISE-1k,0.47802734375,0.0147857666015625,0.06110992431640625,1,1,1,E20_correct__E22_correct,E21_correct__E22_correct,both_correct
E14_Clean,real_raise_supp_026_r0dd6e8f4t,Real,camera,RAISE-1k,0.0094146728515625,0.97314453125,0.8767715454101562,1,0,0,E20_correct__E22_wrong,E21_wrong__E22_wrong,E20_correct__E21_wrong
E14_Clean,ai_sb_stable-diffusion-1-3_154_r0372042dt,AI,stable-diffusion-1-3,Synthbuster,0.324951171875,0.97412109375,0.9092041015625,0,1,1,E20_wrong__E22_correct,E21_correct__E22_correct,E20_wrong__E21_correct
E14_Clean,ai_sb_firefly_065_r045be2act,AI,firefly,Synthbuster,0.00482940673828125,0.60009765625,0.5405708312988282,0,1,1,E20_wrong__E22_correct,E21_correct__E22_correct,E20_wrong__E21_correct
E14_Clean,ai_sb_stable-diffusion-1-3_161_r0a9384b1t,AI,stable-diffusion-1-3,Synthbuster,0.0142822265625,0.970703125,0.87506103515625,0,1,1,E20_wrong__E22_correct,E21_correct__E22_correct,E20_wrong__E21_correct
E14_Clean,ai_sb_firefly_064_r0372042dt,AI,firefly,Synthbuster,0.734375,0.9951171875,0.9690429687500001,1,1,1,E20_correct__E22_correct,E21_correct__E22_correct,both_correct
E14_Clean,real_raise_053_r06b161adt,Real,camera,RAISE-1k,0.03662109375,0.7333984375,0.663720703125,1,0,0,E20_correct__E22_wrong,E21_wrong__E22_wrong,E20_correct__E21_wrong
E14_Clean,ai_sb_stable-diffusion-1-4_188_r07cfb432t,AI,stable-diffusion-1-4,Synthbuster,0.09466552734375,0.83740234375,0.763128662109375,0,1,1,E20_wrong__E22_correct,E21_correct__E22_correct,E20_wrong__E21_correct
E14_Clean,real_raise_115_r0f24ca4dt,Real,camera,RAISE-1k,0.03460693359375,0.88232421875,0.797552490234375,1,0,0,E20_correct__E22_wrong,E21_wrong__E22_wrong,E20_correct__E21_wrong
